100,0.026177,-0.010886,0.3941,0.02835
200,0.073789,0.0404,-0.50093,0.084124
300,0.14772,0.065213,-0.41574,0.16147
400,0.23551,0.075011,-0.30835,0.24717
500,0.313,0.073553,-0.2308,0.32153
600,0.39172,0.066382,-0.16787,0.39731
700,0.46923,0.054466,-0.11556,0.47238
800,0.54519,0.041184,-0.075398,0.54674
900,0.61691,0.028445,-0.046077,0.61756
1000,0.67968,0.016623,-0.024452,0.67988
1100,0.73509,0.0070438,-0.0095819,0.73513
1200,0.78329,-0.00020506,0.0002618,0.78329
1300,0.82577,-0.0047561,0.0057596,0.82578
1400,0.86258,-0.0066845,0.0077493,0.86261
1500,0.89516,-0.0058589,0.006545,0.89518
1600,0.92209,-0.0023175,0.0025133,0.9221
1700,0.94192,0.0028112,-0.0029845,0.94193
1800,0.95888,0.0093387,-0.0097389,0.95892
1900,0.97292,0.018069,-0.01857,0.97309
2000,0.98329,0.028771,-0.029252,0.98371
2100,0.9907,0.039912,-0.040265,0.9915
2200,0.99363,0.052978,-0.053267,0.99504
2300,0.99648,0.064789,-0.064926,0.99858
2400,0.99702,0.077206,-0.077283,1
2500,0.99598,0.089537,-0.089658,1
2600,0.9941,0.10192,-0.10217,0.99931
2700,0.99244,0.11365,-0.11402,0.99893
2800,0.99071,0.12568,-0.12619,0.99865
2900,0.98903,0.13835,-0.13898,0.99866
3000,0.98559,0.15053,-0.15156,0.99702
3100,0.98256,0.16196,-0.16336,0.99581
3200,0.97917,0.17371,-0.17558,0.99446
3300,0.97564,0.18484,-0.18724,0.99299
3400,0.97075,0.19605,-0.19928,0.99035
3500,0.96574,0.20744,-0.21159,0.98777
3600,0.96034,0.21817,-0.22338,0.98481
3700,0.95557,0.22848,-0.23469,0.9825
3800,0.95027,0.238,-0.24541,0.97962
3900,0.94629,0.24848,-0.25679,0.97837
4000,0.94055,0.25833,-0.26805,0.97538
4100,0.93559,0.26928,-0.28025,0.97357
4200,0.93004,0.2791,-0.29154,0.97102
4300,0.92437,0.28825,-0.30227,0.96827
4400,0.91793,0.29728,-0.3132,0.96487
4500,0.91225,0.30654,-0.32418,0.96237
4600,0.90638,0.31567,-0.33514,0.95978
4700,0.9008,0.325,-0.34626,0.95763
4800,0.89309,0.33333,-0.35722,0.95327
4900,0.88678,0.34205,-0.36814,0.95046
5000,0.88007,0.3499,-0.37842,0.94708
5100,0.87445,0.35851,-0.38909,0.94509
5200,0.86773,0.36628,-0.39942,0.94187
5300,0.86191,0.37516,-0.41054,0.94002
5400,0.85316,0.384,-0.42293,0.93559
5500,0.84666,0.39218,-0.43378,0.93308
5600,0.83885,0.39943,-0.4444,0.92909
5700,0.83119,0.40669,-0.45504,0.92535
5800,0.82418,0.41389,-0.46539,0.92227
5900,0.81787,0.42197,-0.47632,0.92031
6000,0.80967,0.4291,-0.48733,0.91635
6100,0.80202,0.4363,-0.49822,0.91301
6200,0.79396,0.44324,-0.50916,0.9093
6300,0.78541,0.44908,-0.51941,0.90473
6400,0.77826,0.45575,-0.52976,0.90188
6500,0.77107,0.46314,-0.54089,0.89947
6600,0.76376,0.46946,-0.55114,0.8965
6700,0.75521,0.47659,-0.56296,0.89302
6800,0.74974,0.48434,-0.57357,0.89258
6900,0.73838,0.48841,-0.58439,0.8853
7000,0.72836,0.49197,-0.59406,0.87894
7100,0.72291,0.499,-0.60416,0.87841
7200,0.71632,0.50547,-0.61451,0.87671
7300,0.70734,0.5104,-0.62505,0.87226
7400,0.69728,0.5153,-0.63643,0.86702
7500,0.68883,0.52017,-0.64678,0.86317
7600,0.68094,0.52532,-0.6571,0.86003
7700,0.67232,0.52982,-0.66741,0.85599
7800,0.66285,0.53346,-0.67766,0.85086
7900,0.65459,0.53761,-0.68759,0.84707
8000,0.64482,0.54195,-0.69893,0.84232
8100,0.63702,0.54624,-0.70883,0.83915
8200,0.62784,0.54886,-0.71838,0.83392
8300,0.61941,0.55238,-0.72826,0.82993
8400,0.61036,0.55618,-0.73899,0.82575
8500,0.60199,0.55858,-0.74801,0.82122
8600,0.5934,0.56203,-0.75826,0.81731
8700,0.58381,0.56405,-0.76819,0.81178
8800,0.57485,0.56723,-0.77873,0.80759
8900,0.56623,0.5693,-0.7881,0.80295
9000,0.55728,0.57226,-0.79866,0.79877
9100,0.54861,0.57382,-0.80786,0.79388
9200,0.53971,0.57548,-0.81746,0.78896
9300,0.5305,0.57777,-0.82802,0.78438
9400,0.52076,0.57794,-0.83739,0.77795
9500,0.51211,0.58002,-0.8475,0.77375
9600,0.50367,0.58149,-0.85699,0.76929
9700,0.49539,0.5826,-0.86612,0.76474
9800,0.48656,0.58412,-0.87626,0.76022
9900,0.47772,0.58509,-0.88609,0.75534
10000,0.46734,0.58494,-0.8967,0.74871
10100,0.45871,0.58501,2.2358,0.74438
10200,0.45008,0.58508,5.3681,0.73816
10300,0.44221,0.58656,5.3584,0.73458
10400,0.43355,0.58634,5.3491,0.72922
10500,0.42507,0.58609,5.3399,0.72401
10600,0.41559,0.58607,5.3292,0.71847
10700,0.40733,0.5855,5.3202,0.71325
10800,0.39862,0.58473,5.3107,0.70767
10900,0.39006,0.58359,5.3016,0.70194
11000,0.38276,0.58257,5.2937,0.69706
11100,0.37456,0.58149,5.2846,0.69168
11200,0.36569,0.57979,5.2751,0.68548
11300,0.35733,0.57917,5.2652,0.68053
11400,0.34985,0.57743,5.2571,0.67514
11500,0.34226,0.57551,5.2489,0.66959
